Id,Date,Type,TrueValue,GuessValue,Error,Point1,Point2,"NOTE: If guess is 50 and error is 0, the record should be used only as the starting time for the set"
aizcu,2/11/2024 14:39:14,Bar,82.10526316,72,3.35,78,95,
aizcu,2/11/2024 14:39:32,Pie,6.756756757,12,2.42,5,74,
aizcu,2/11/2024 14:39:50,Radar,36,28,3.02,36,100,
aizcu,2/11/2024 14:39:59,Bar,2.857142857,8,2.4,2,70,
aizcu,2/11/2024 14:40:07,Pie,92.5,96,1.86,37,40,
aizcu,2/11/2024 14:40:18,Pie,18.60465116,20,0.6,8,43,
aizcu,2/11/2024 14:40:28,Radar,42.69662921,40,1.5,38,89,
aizcu,2/11/2024 14:40:36,Bar,91.30434783,90,0.52,42,46,
aizcu,2/11/2024 14:40:57,Radar,72.94117647,67,2.6,62,85,
aizcu,2/11/2024 14:41:24,Radar,1.052631579,10,3.18,1,95,
aizcu,2/11/2024 14:41:58,Bar,80.76923077,17,6,63,78,
aizcu,2/11/2024 14:42:08,Radar,2.777777778,10,2.88,1,36,
x937t,2/11/2024 15:47:54,Pie,2.53164557,50,0,2,79,
1zspd,2/11/2024 18:05:19,Radar,37.33333333,8,4.88,28,75,
1zspd,2/11/2024 18:05:28,Pie,27.27272727,44,4.07,15,55,
1zspd,2/11/2024 18:05:37,Pie,57.5,50,2.93,23,40,
1zspd,2/11/2024 18:05:46,Radar,89.0625,50,5.29,57,64,
1zspd,2/11/2024 18:05:53,Bar,55.26315789,75,4.31,21,38,
1zspd,2/11/2024 18:06:05,Radar,52.12765957,55,1.58,49,94,
1zspd,2/11/2024 18:06:16,Bar,7.407407407,15,2.95,4,54,
1zspd,2/11/2024 18:12:15,Pie,20.77922078,34,3.74,16,77,
woe8d,2/11/2024 18:22:55,Radar,22.22222222,50,0,10,45,
1zspd,2/11/2024 18:38:29,Radar,96,34,5.96,48,50,
ype3b,2/11/2024 21:22:22,Radar,67.70833333,50,0,65,96,
ype3b,2/11/2024 21:22:51,Radar,67.70833333,82,3.85,65,96,
ype3b,2/11/2024 21:23:25,Pie,23.91304348,60,5.18,11,46,
ype3b,2/11/2024 21:24:01,Bar,55.55555556,80,4.62,50,90,
ype3b,2/11/2024 21:24:57,Pie,40.74074074,60,4.28,11,27,
ype3b,2/11/2024 21:25:33,Bar,94.18604651,95,-0.09,81,86,
ype3b,2/11/2024 21:26:10,Pie,23.61111111,16,2.95,17,72,
ype3b,2/11/2024 21:26:28,Pie,50,47,1.64,14,28,
ype3b,2/11/2024 21:26:45,Bar,32.89473684,30,1.59,25,76,
ype3b,2/11/2024 21:27:22,Pie,62.79069767,70,2.87,27,43,
ype3b,2/11/2024 21:27:49,Radar,34.7826087,31,1.97,16,46,
ype3b,2/11/2024 21:27:58,Pie,57.89473684,51,2.81,11,19,
ype3b,2/11/2024 21:28:24,Pie,12.65822785,20,2.9,10,79,
ype3b,2/11/2024 21:28:35,Radar,93.10344828,93,-2.13,27,29,
ype3b,2/11/2024 21:28:44,Radar,89.55223881,93,1.84,60,67,
ype3b,2/11/2024 21:28:56,Bar,45.58823529,42,1.89,31,68,
ype3b,2/11/2024 21:29:04,Bar,86.95652174,82,2.35,40,46,
