trialNum,Vis Type,Reported Percent,True Percent,Error
80,Bar Chart,15,16,0.169925001
1,Bar Chart,80,78,1.087462841
2,Stack Chart,90,93,1.64385619
3,Pie Chart,89,87,1.087462841
4,Stack Chart,80,89,3.189824559
5,Bar Chart,20,21,0.169925001
6,Stack Chart,17,18,0.169925001
7,Pie Chart,90,98,3.022367813
8,Bar Chart,70,60,3.339850003
9,Stack Chart,31,38,2.832890014
10,Stack Chart,33,33,0
11,Bar Chart,90,87,1.64385619
12,Pie Chart,20,18,1.087462841
13,Donut Chart,99,97,1.087462841
14,Bar Chart,90,78,3.599912842
15,Pie Chart,70,54,4.011227255
16,Donut Chart,89,62,4.761551232
17,Donut Chart,59,48,3.475733431
18,Stack Chart,33,40,2.832890014
19,Bar Chart,12,10,1.087462841
20,Donut Chart,80,83,1.64385619
21,Pie Chart,66,77,3.475733431
22,Bar Chart,98,87,3.475733431
23,Bar Chart,90,85,2.357552005
24,Pie Chart,20,20,0
25,Stack Chart,20,23,1.64385619
26,Pie Chart,90,63,4.761551232
27,Donut Chart,80,61,4.257387843
28,Pie Chart,10,6,2.044394119
29,Bar Chart,80,78,1.087462841
30,Pie Chart,20,23,1.64385619
31,Pie Chart,20,20,0
32,Bar Chart,45,47,1.087462841
33,Stack Chart,78,60,4.17990909
34,Stack Chart,78,68,3.339850003
35,Pie Chart,89,55,5.092757141
36,Bar Chart,8,6,1.087462841
37,Stack Chart,10,8,1.087462841
38,Pie Chart,33,36,1.64385619
39,Stack Chart,89,86,1.64385619
40,Stack Chart,33,43,3.339850003
41,Pie Chart,45,58,3.714245518
42,Bar Chart,50,52,1.087462841
43,Stack Chart,66,83,4.098032083
44,Pie Chart,90,93,1.64385619
45,Pie Chart,33,32,0.169925001
46,Pie Chart,99,81,4.17990909
47,Bar Chart,17,9,3.022367813
48,Bar Chart,89,82,2.832890014
49,Pie Chart,88,73,3.918863237
50,Bar Chart,20,14,2.614709844
51,Stack Chart,30,28,1.087462841
52,Stack Chart,25,36,3.475733431
53,Pie Chart,99,76,4.531381461
54,Pie Chart,15,15,0
55,Pie Chart,20,20,0
56,Bar Chart,77,61,4.011227255
57,Donut Chart,88,80,3.022367813
58,Stack Chart,42,64,4.46760555
59,Donut Chart,34,25,3.189824559
60,Stack Chart,10,6,2.044394119
61,Stack Chart,10,13,1.64385619
62,Bar Chart,98,87,3.475733431
63,Stack Chart,10,13,1.64385619
64,Donut Chart,94,98,2.044394119
65,Stack Chart,97,100,1.64385619
66,Donut Chart,24,31,2.832890014
67,Donut Chart,15,13,1.087462841
68,Bar Chart,88,83,2.357552005
69,Donut Chart,4,2,1.087462841
70,Bar Chart,70,67,1.64385619
71,Donut Chart,99,95,2.044394119
72,Bar Chart,70,64,2.614709844
73,Donut Chart,66,41,4.651051691
74,Donut Chart,77,64,3.714245518
75,Donut Chart,8,7,0.169925001
76,Donut Chart,86,74,3.599912842
77,Donut Chart,45,41,2.044394119
78,Donut Chart,18,14,2.044394119
79,Donut Chart,89,71,4.17990909
80,Donut Chart,24,25,0.169925001
